participants,stimuli,density,noise_sd,scenario,method,participant_dose,stimulus_dose,replicates,coverage,coverage_mc_low,coverage_mc_high,truth,bias,empirical_sd,mean_bootstrap_sd,bootstrap_bias,miss_below,miss_above,positive_rate,mean_width
8,6,0.25,1.5,independent_noise,percentile,0,0,298,0.9966442953020134,0.9812398715859647,0.9994073899150995,0.0,-0.001605187366391971,0.12193453632477093,0.1513839759245009,0.005894359154012347,0.003355704697986577,0.0,0.0,0.5970252027319665
8,6,0.25,1.5,independent_noise,percentile,0,4,298,1.0,0.9872732565112067,0.9999999999999999,-0.017078301259399603,0.004190616230703517,0.09276067821847896,0.12311197700108113,0.004912538840424842,0.0,0.0,0.0,0.48643698330210483
8,6,0.25,1.5,independent_noise,percentile,4,0,298,1.0,0.9872732565112067,0.9999999999999999,-0.01678959045391859,-0.0007766225297062421,0.09930414822966824,0.126127341013623,0.006232317826461993,0.0,0.0,0.0,0.4974700077958934
8,6,0.25,1.5,independent_noise,percentile,4,4,298,1.0,0.9872732565112067,0.9999999999999999,-0.0239704823661836,0.004603962357628268,0.08366674858550893,0.1084537687956604,0.00478481193203866,0.0,0.0,0.0,0.42773166260371953
8,6,0.25,1.5,labels_only,basic,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,basic,0,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,basic,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,basic,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,normal_t,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,normal_t,0,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,normal_t,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,normal_t,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,percentile,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,percentile,0,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,percentile,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,labels_only,percentile,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,0.25,1.5,participant_constant,basic,0,0,298,0.8791946308724832,0.8372875222463285,0.9114499138997543,0.23786407766990286,-0.03701553542222699,0.13454880578159603,0.15431579691143685,-0.04740211033939872,0.05704697986577181,0.06375838926174497,0.4395973154362416,0.5952659354067796
8,6,0.25,1.5,participant_constant,basic,0,4,298,0.9060402684563759,0.8675538144858208,0.9341915817414008,0.15524239831493086,-0.011528222284518433,0.10866840838256303,0.12990906893930146,-0.03017438009172571,0.053691275167785234,0.040268456375838924,0.2953020134228188,0.5059770184736331
8,6,0.25,1.5,participant_constant,basic,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,1.9210025069541825e-18,3.171354384335871e-17,5.0801513473763917e-17,-4.863517133961172e-19,0.0,0.0,0.0,1.616659283920081e-16
8,6,0.25,1.5,participant_constant,basic,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-3.4228771942092704e-18,4.655706869665072e-17,1.0752183937854043e-16,4.180741783558297e-18,0.0,0.0,0.0,2.975395668568518e-16
8,6,0.25,1.5,participant_constant,normal_t,0,0,298,0.9899328859060402,0.970824791888958,0.9965704795918217,0.23786407766990286,-0.03701553542222699,0.13454880578159603,0.15431579691143685,-0.04740211033939872,0.010067114093959731,0.0,0.0436241610738255,0.8400944817274492
8,6,0.25,1.5,participant_constant,normal_t,0,4,298,1.0,0.9872732565112067,0.9999999999999999,0.15524239831493086,-0.011528222284518433,0.10866840838256303,0.12990906893930146,-0.03017438009172571,0.0,0.0,0.02348993288590604,0.7070865833267964
8,6,0.25,1.5,participant_constant,normal_t,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,1.9210025069541825e-18,3.171354384335871e-17,5.0801513473763917e-17,-4.863517133961172e-19,0.0,0.0,0.0,2.7476331074368077e-16
8,6,0.25,1.5,participant_constant,normal_t,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-3.4228771942092704e-18,4.655706869665072e-17,1.0752183937854043e-16,4.180741783558297e-18,0.0,0.0,0.0,5.8629450512073e-16
8,6,0.25,1.5,participant_constant,percentile,0,0,298,0.9463087248322147,0.9145731491441628,0.9666841872047666,0.23786407766990286,-0.03701553542222699,0.13454880578159603,0.15431579691143685,-0.04740211033939872,0.053691275167785234,0.0,0.030201342281879196,0.5952659354067796
8,6,0.25,1.5,participant_constant,percentile,0,4,298,0.9832214765100671,0.9613308139889923,0.9928124674715028,0.15524239831493086,-0.011528222284518433,0.10866840838256303,0.12990906893930146,-0.03017438009172571,0.016778523489932886,0.0,0.03355704697986577,0.5059770184736331
8,6,0.25,1.5,participant_constant,percentile,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.0,1.9210025069541825e-18,3.171354384335871e-17,5.0801513473763917e-17,-4.863517133961172e-19,0.0,0.0,0.0,1.616659283920081e-16
8,6,0.25,1.5,participant_constant,percentile,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.0,-3.4228771942092704e-18,4.655706869665072e-17,1.0752183937854043e-16,4.180741783558297e-18,0.0,0.0,0.0,2.975395668568518e-16
8,6,0.25,1.5,trial_signal,basic,0,0,298,0.9362416107382551,0.9025734036136731,0.9588059477048295,0.1288659793814433,-0.013199244414334815,0.10129904292274551,0.12993379086900766,-0.02257572162896599,0.02348993288590604,0.040268456375838924,0.24496644295302014,0.5139767629060928
8,6,0.25,1.5,trial_signal,basic,0,4,298,0.9395973154362416,0.906550967009927,0.9614543793187178,0.08281408993534495,-0.0018670528572004709,0.08002672878644353,0.10244376120441308,-0.014585746964967339,0.02348993288590604,0.03691275167785235,0.1610738255033557,0.4025635683040884
8,6,0.25,1.5,trial_signal,basic,4,0,298,0.9228187919463087,0.8868532237492394,0.9480221475286937,0.09082733947956687,-0.009521123036555612,0.08968577428541011,0.11249385442852211,-0.015989304506404706,0.026845637583892617,0.050335570469798654,0.18456375838926176,0.4400425027397003
8,6,0.25,1.5,trial_signal,basic,4,4,298,0.9496644295302014,0.9186214651265532,0.9692618662325188,0.06676819847260845,-0.0018288606330781499,0.0729628012923278,0.09463041831080148,-0.012013410923158777,0.016778523489932886,0.03355704697986577,0.15771812080536912,0.37048268006831436
8,6,0.25,1.5,trial_signal,normal_t,0,0,298,1.0,0.9872732565112067,0.9999999999999999,0.1288659793814433,-0.013199244414334815,0.10129904292274551,0.12993379086900766,-0.02257572162896599,0.0,0.0,0.02348993288590604,0.7066686194775503
8,6,0.25,1.5,trial_signal,normal_t,0,4,298,0.9966442953020134,0.9812398715859647,0.9994073899150995,0.08281408993534495,-0.0018670528572004709,0.08002672878644353,0.10244376120441308,-0.014585746964967339,0.003355704697986577,0.0,0.010067114093959731,0.5562886991314049
8,6,0.25,1.5,trial_signal,normal_t,4,0,298,1.0,0.9872732565112067,0.9999999999999999,0.09082733947956687,-0.009521123036555612,0.08968577428541011,0.11249385442852211,-0.015989304506404706,0.0,0.0,0.003355704697986577,0.6125513203154966
8,6,0.25,1.5,trial_signal,normal_t,4,4,298,1.0,0.9872732565112067,0.9999999999999999,0.06676819847260845,-0.0018288606330781499,0.0729628012923278,0.09463041831080148,-0.012013410923158777,0.0,0.0,0.006711409395973154,0.5146349369862011
