dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,de_ridge_strong,8,0,combined_personalized,0.19302269866086091,0.06880769542826648,0.31723770189345535,1985,0.19357268518900664
ds005540,de_ridge_strong,8,8,prior,0.4907012372224836,0.34749131213137896,0.6339111623135882,1985,0.16290261243386245
ds005540,de_ridge_strong,8,8,prior_personalized,0.6327069705103981,0.4688714910603772,0.7965424499604191,1985,0.1450768522313176
ds005540,de_ridge_strong,8,8,eeg_population,0.002873323675628253,-0.08368900079848433,0.08943564814974085,1985,0.2179324173296381
ds005540,de_ridge_strong,8,8,eeg_personalized,0.186549333762572,0.050725788067702754,0.3223728794574412,1985,0.19938452239107846
ds005540,de_ridge_strong,8,8,combined_population,0.4778023180589491,0.31840998152980393,0.6371946545880943,1985,0.17167641118414
ds005540,de_ridge_strong,8,8,combined_personalized,0.622467076042624,0.4553757188513008,0.7895584332339471,1985,0.14792216650629253
ds005540,eegnet_lr1e3,0,0,prior,-3.0732194575483232e-15,-5.544037093133089e-15,-6.024018219635578e-16,1985,0.21154367944837507
ds005540,eegnet_lr1e3,0,0,prior_personalized,-3.0732194575483232e-15,-5.544037093133089e-15,-6.024018219635578e-16,1985,0.21154367944837507
ds005540,eegnet_lr1e3,0,0,eeg_population,0.005012621700976257,-0.03831669652572357,0.04834193992767609,1985,0.21039528357506612
ds005540,eegnet_lr1e3,0,0,eeg_personalized,0.005012627880579412,-0.03831669016178032,0.048341945922939146,1985,0.21039528308111052
ds005540,eegnet_lr1e3,0,0,combined_population,-0.00040099605147748756,-0.023969615139896417,0.023167623036941445,1985,0.21110374318742023
ds005540,eegnet_lr1e3,0,0,combined_personalized,-0.00040099605147748756,-0.023969615139896417,0.023167623036941445,1985,0.21110374318742023
ds005540,eegnet_lr1e3,0,8,prior,0.4907012372224836,0.34749131213137896,0.6339111623135882,1985,0.16290261243386245
ds005540,eegnet_lr1e3,0,8,prior_personalized,0.4907012372224836,0.34749131213137896,0.6339111623135882,1985,0.16290261243386245
ds005540,eegnet_lr1e3,0,8,eeg_population,0.0019186794170957336,-0.03415631654689987,0.03799367538109134,1985,0.20915107414451056
