seed,participant_dose,stimulus_dose,predictor,macro_ccc,macro_mae,dataset_id,representation
11,1,2,combined_population,0.3122104916854342,0.2216693425988925,ds002721,bandpower
11,1,2,combined_personalized,-0.0313454890097186,0.3806878435614294,ds002721,bandpower
11,1,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_pretrained
11,1,2,eeg_population,-0.0053696922153852,0.2688124793030498,ds002721,labram_pretrained
11,1,2,eeg_personalized,-0.3279054358047729,0.3550564826777153,ds002721,labram_pretrained
11,1,2,combined_population,0.3201619856142036,0.2164893655583836,ds002721,labram_pretrained
11,1,2,combined_personalized,-0.0141437044175237,0.3755787103894877,ds002721,labram_pretrained
11,1,2,prior,0.3097812643019378,0.2269736842105263,ds002721,labram_random
11,1,2,eeg_population,0.0413493009162055,0.2699832884578075,ds002721,labram_random
11,1,2,eeg_personalized,-0.3141170781513234,0.356802504559442,ds002721,labram_random
11,1,2,combined_population,0.3131672464407974,0.2249300109443147,ds002721,labram_random
11,1,2,combined_personalized,-0.037117118513602,0.3913923717571386,ds002721,labram_random
11,1,4,prior,0.3676811717055452,0.2179276315789473,ds002721,bandpower
11,1,4,eeg_population,-0.0032803901065191,0.269572048139615,ds002721,bandpower
11,1,4,eeg_personalized,-0.3291955689698577,0.3648678242998442,ds002721,bandpower
11,1,4,combined_population,0.3628317694932708,0.2138867110851471,ds002721,bandpower
11,1,4,combined_personalized,0.0425853933394402,0.2892690881866458,ds002721,bandpower
11,1,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_pretrained
11,1,4,eeg_population,-0.0104558171305279,0.2665259582756456,ds002721,labram_pretrained
11,1,4,eeg_personalized,-0.3259594554793754,0.3571062179609419,ds002721,labram_pretrained
11,1,4,combined_population,0.3795876871264834,0.205512942797514,ds002721,labram_pretrained
11,1,4,combined_personalized,0.0778009790222615,0.2805777983551146,ds002721,labram_pretrained
11,1,4,prior,0.3676811717055452,0.2179276315789473,ds002721,labram_random
11,1,4,eeg_population,0.0288246010140459,0.2719260426981706,ds002721,labram_random
11,1,4,eeg_personalized,-0.3286758591385087,0.359064577524305,ds002721,labram_random
11,1,4,combined_population,0.3718925978652551,0.2154163832239733,ds002721,labram_random
11,1,4,combined_personalized,0.0213988853748375,0.2986461373149056,ds002721,labram_random
11,2,0,prior,0.1002609599227078,0.2928618421052632,ds002721,bandpower
11,2,0,eeg_population,0.0081698540811683,0.2694059624829732,ds002721,bandpower
11,2,0,eeg_personalized,-0.1964616405208435,0.2934022221365312,ds002721,bandpower
11,2,0,combined_population,0.110776971226672,0.2847387295870695,ds002721,bandpower
11,2,0,combined_personalized,-0.0393999739909138,0.3364860557594452,ds002721,bandpower
11,2,0,prior,0.1002609599227078,0.2928618421052632,ds002721,labram_pretrained
11,2,0,eeg_population,0.0030490899692261,0.2695713347806628,ds002721,labram_pretrained
11,2,0,eeg_personalized,-0.1720313982812221,0.291028694466557,ds002721,labram_pretrained
11,2,0,combined_population,0.1291387663141738,0.2845047388314188,ds002721,labram_pretrained
11,2,0,combined_personalized,-0.008427701870091,0.3285191929701682,ds002721,labram_pretrained
11,2,0,prior,0.1002609599227078,0.2928618421052632,ds002721,labram_random
11,2,0,eeg_population,0.0395617238130325,0.2698580903577199,ds002721,labram_random
11,2,0,eeg_personalized,-0.1941502359505451,0.2922669431363607,ds002721,labram_random
11,2,0,combined_population,0.1372142356105311,0.2914346569553762,ds002721,labram_random
11,2,0,combined_personalized,-0.0391332357721739,0.34040091297468,ds002721,labram_random
11,2,1,prior,0.3048143520369955,0.2434210526315789,ds002721,bandpower
11,2,1,eeg_population,0.0133651807255272,0.2680215107771675,ds002721,bandpower
11,2,1,eeg_personalized,-0.1962891116021816,0.293251734270439,ds002721,bandpower
11,2,1,combined_population,0.2924646616366813,0.25281751262547,ds002721,bandpower
11,2,1,combined_personalized,0.1154619448487644,0.3463367955158348,ds002721,bandpower
11,2,1,prior,0.3048143520369955,0.2434210526315789,ds002721,labram_pretrained
11,2,1,eeg_population,-0.0034120349220035,0.2692136068545737,ds002721,labram_pretrained
11,2,1,eeg_personalized,-0.1803373546243787,0.29232988542785,ds002721,labram_pretrained
