dataset_id,representation,predictor,zero_exposure_ccc,zero_exposure_ccc_sd,maximum_exposure_ccc,maximum_exposure_ccc_sd,uniform_cell_mean_ccc,normalized_surface_auc_ccc,normalized_surface_auc_ccc_sd,worst_cell_ccc,first_participant_trial_gain_ccc,first_stimulus_observation_gain_ccc,participant_half_gain_dose,stimulus_half_gain_dose,seed_count
ds005540,cbramod_random,combined_population,0.006905690185858999,0.020555550161665655,0.48169540262413746,0.07833600396363136,0.31862972413595625,0.3904639596467185,0.04946520165119088,0.006905690185858999,0.0,0.31166733356867254,,1.0,5
ds005540,cbramod_random,eeg_personalized,-0.02089704211243178,0.0496403462610577,0.1680766364671305,0.06928060017299524,0.10534339651366166,0.13439169780087484,0.06731820449549698,-0.025819320075685003,0.12756557225259454,0.0003662296367725401,1.0,8.0,5
ds005540,cbramod_random,eeg_population,-0.02089704211243178,0.0496403462610577,-0.00788179681926712,0.032207227917623794,-0.01986052206660283,-0.019749102979231235,0.05289444702174587,-0.025819320075685003,0.0,0.0003662296367725401,,8.0,5
ds005540,cbramod_random,prior,0.0,0.0,0.4809207257700794,0.07907233409572147,0.31754849775425653,0.39020456480991206,0.04497459836908736,0.0,0.0,0.31904680572274724,,1.0,5
ds005540,de,combined_personalized,0.00780924714626728,0.0485459407208197,0.5598525829979846,0.055059198937900775,0.37018306071365165,0.44851282443307106,0.05822159594159872,0.00780924714626728,0.1334142522404101,0.2782103737644921,1.0,1.0,5
ds005540,de,combined_population,0.00780924714626728,0.0485459407208197,0.44157880521584164,0.10291843850588438,0.30439514557038744,0.3757854185545705,0.04075631663266872,0.00780924714626728,0.0,0.2782103737644921,,1.0,5
ds005540,de,eeg_personalized,0.0125624418067733,0.03612814517709569,0.1738472919779417,0.08030852434805667,0.12090425374597548,0.14521368302504525,0.05587940809093253,0.0025510459212313,0.11351871007988926,-0.010011395885542,1.0,2.0,5
ds005540,de,eeg_population,0.0125624418067733,0.03612814517709569,0.022405143968440483,0.03917634820882771,0.01793314598282576,0.02177386640416821,0.04536557926327675,0.0025510459212313,0.0,-0.010011395885542,,2.0,5
ds005540,de,prior,0.0,0.0,0.4809207257700794,0.07907233409572147,0.31754849775425653,0.39020456480991206,0.04497459836908736,0.0,0.0,0.31904680572274724,,1.0,5
ds005540,labram_pretrained,combined_personalized,-0.00518931425726762,0.01195751667130324,0.5748353004972577,0.062034909076048,0.3795920486983423,0.4604484159968499,0.04998325843658832,-0.00518931425726762,0.14689752954177818,0.3180715037222724,1.0,1.0,5
ds005540,labram_pretrained,combined_population,-0.00518931425726762,0.01195751667130324,0.467636483937586,0.09955798426283315,0.3081994114647597,0.3797929604674391,0.043842560148168334,-0.00518931425726762,0.0,0.3180715037222724,,1.0,5
ds005540,labram_pretrained,eeg_personalized,-0.015143101754891062,0.009628510713694267,0.1758214539956139,0.06861246555706647,0.11575939873700297,0.14467077323825134,0.04840772337999479,-0.015143101754891062,0.134667489086378,0.0010712857644512835,1.0,4.0,5
ds005540,labram_pretrained,eeg_population,-0.015143101754891062,0.009628510713694267,-0.0042942697999550795,0.01643068223468345,-0.010252863863881688,-0.008537719510037296,0.011199293931425547,-0.015143101754891062,0.0,0.0010712857644512835,,4.0,5
ds005540,labram_pretrained,prior,0.0,0.0,0.4809207257700794,0.07907233409572147,0.31754849775425653,0.39020456480991206,0.04497459836908736,0.0,0.0,0.31904680572274724,,1.0,5
ds005540,labram_random,combined_personalized,-0.00456785258288378,0.03930905672005433,0.5711016940843112,0.06359328120244352,0.3822027496820517,0.4642351178501314,0.0608534341605811,-0.00456785258288378,0.14561753213713377,0.31735527143043957,1.0,1.0,5
ds005540,labram_random,combined_population,-0.00456785258288378,0.03930905672005433,0.46288589912147166,0.08578700671793595,0.30918178609962005,0.3809782520194511,0.05530074896768875,-0.00456785258288378,0.0,0.31735527143043957,,1.0,5
ds005540,labram_random,eeg_personalized,-0.01140498368444974,0.04296237971067863,0.15492468966771197,0.0846533113902785,0.11051572814620896,0.13788806509492937,0.06981045587151831,-0.013832911311091262,0.1270983608109474,0.00030044331978950137,1.0,,5
ds005540,labram_random,eeg_population,-0.01140498368444974,0.04296237971067863,-0.013832911311091262,0.03165795314133477,-0.011178061988132306,-0.010644013987240158,0.03548592577590992,-0.013832911311091262,0.0,0.00030044331978950137,,,5
ds005540,labram_random,prior,0.0,0.0,0.4809207257700794,0.07907233409572147,0.31754849775425653,0.39020456480991206,0.04497459836908736,0.0,0.0,0.31904680572274724,,1.0,5
ds006866,bandpower,combined_personalized,0.00276767630633582,0.0127028557678835,0.32839216974952257,0.036913043433308534,0.19165864993366682,0.2500981172388729,0.03516222232553714,0.0011283893216847804,0.2591521355713094,-0.0016392869846510397,2.0,,5
ds006866,bandpower,combined_population,0.00276767630633582,0.0127028557678835,0.00138761394191114,0.013487387464062622,0.00176122652331058,0.0014305094273510451,0.012469932611719,0.0011283893216847804,0.0,-0.0016392869846510397,,,5
ds006866,bandpower,eeg_personalized,0.00230785371447374,0.013512115247290228,0.2757058178302497,0.05384409644217089,0.16752371501274807,0.2159553719037787,0.041680294117108274,0.00230785371447374,0.22224158470396632,1.580972861259418e-05,2.0,2.0,5
ds006866,bandpower,eeg_population,0.00230785371447374,0.013512115247290228,0.0023196148461088234,0.01346153145981389,0.002317044001222966,0.0023201690031431936,0.013501850897031528,0.00230785371447374,0.0,1.580972861259418e-05,,2.0,5
ds006866,bandpower,prior,-2.4693844030759374e-32,2.8814918175179456e-32,0.0,0.0,-8.231281343586457e-33,-3.086730503844922e-33,3.601864771897432e-33,-2.4693844030759374e-32,0.0,2.4693844030759374e-32,,2.0,5
