case,origin,source,checker,expected_observable_status,observed_status,runtime_ms,blocked_checks
libeer_selection_test_not_declared_as_validation_fold2,injected_contract_fixture_not_upstream_defect,LibEER,elementary_split,block,allow,1.3405029894784093,
libeer_selection_test_not_declared_as_validation_fold2,injected_contract_fixture_not_upstream_defect,LibEER,resource_contract,block,block,2.170660998672247,model_selection_test_exclusion;subject_preprocessing_selection_holdout
eegain_matched_fold2,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,allow,allow,1.529224100522697,
eegain_matched_fold2,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,allow,allow,2.2394770057871938,
eegain_unequal_calibration_fold2,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.7245049821212888,
eegain_unequal_calibration_fold2,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.254921942949295,matched_calibration_trial_uids
eegain_unequal_population_labels_fold2,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.4037410728633404,
eegain_unequal_population_labels_fold2,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.097808988764882,matched_population_label_trial_uids
eegain_different_evaluation_support_fold2,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3816870050504804,
eegain_different_evaluation_support_fold2,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.2249650210142136,matched_evaluation_trial_uids
eegain_missing_provenance_fold2,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,unverifiable,allow,1.3848419766873121,
eegain_missing_provenance_fold2,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,unverifiable,unverifiable,1.393545069731772,
eegain_compound_fit_and_support_fold2,injected_contract_fixture_not_upstream_defect,EEGain,elementary_split,block,allow,1.3817069120705128,
eegain_compound_fit_and_support_fold2,injected_contract_fixture_not_upstream_defect,EEGain,resource_contract,block,block,2.2205079440027475,preprocessing_test_exclusion;subject_preprocessing_selection_holdout;fixed_evaluation_support
