dataset_id,representation,participant_dose,stimulus_dose,predictor,macro_ccc,ccc_ci_low,ccc_ci_high,valid_bootstrap,macro_mae
ds005540,de_ridge_base,8,2,eeg_personalized,0.18101119716786312,0.0409503514308904,0.3210720429048358,1986,0.21196009030025595
ds005540,de_ridge_base,8,2,combined_population,0.41054485409075986,0.25299117243024466,0.5680985357512751,1986,0.20534928205487696
ds005540,de_ridge_base,8,2,combined_personalized,0.4785954250585366,0.3035880382943191,0.6536028118227541,1986,0.1958689553309395
ds005540,de_ridge_base,8,4,prior,0.45986808514520955,0.313846638897867,0.6058895313925521,1986,0.17076504629629627
ds005540,de_ridge_base,8,4,prior_personalized,0.5433835930881521,0.36579139338975564,0.7209757927865486,1986,0.16573112719068214
ds005540,de_ridge_base,8,4,eeg_population,0.058254464259778274,-0.0357343334746002,0.15224326199415675,1986,0.2144218372892975
ds005540,de_ridge_base,8,4,eeg_personalized,0.17661510818784448,0.036208900393863014,0.3170213159818259,1986,0.21282144393467145
ds005540,de_ridge_base,8,4,combined_population,0.4903042473545301,0.3368387786545927,0.6437697160544675,1986,0.17540348078629037
ds005540,de_ridge_base,8,4,combined_personalized,0.5433211679669891,0.3631449926831599,0.7234973432508184,1986,0.1678282232990589
ds005540,de_ridge_base,8,8,prior,0.501578607493332,0.355264019909334,0.6478931950773301,1986,0.15928819444444442
ds005540,de_ridge_base,8,8,prior_personalized,0.5889929825740453,0.40568807630718684,0.7722978888409038,1986,0.15286851566515705
ds005540,de_ridge_base,8,8,eeg_population,0.06486082466865066,-0.034388907023547785,0.1641105563608491,1986,0.2120397361452561
ds005540,de_ridge_base,8,8,eeg_personalized,0.17400311496425094,0.033675380429602025,0.3143308494988999,1986,0.21188322760536066
ds005540,de_ridge_base,8,8,combined_population,0.5384499694369644,0.37491277543460866,0.7019871634393202,1986,0.16067853898125703
ds005540,de_ridge_base,8,8,combined_personalized,0.5858308183983565,0.4019966519009584,0.7696649848957546,1986,0.15485071696755895
ds005540,de_ridge_strong,0,0,prior,5.990550166005177e-16,-1.8579040538974735e-15,3.0560140870985086e-15,1986,0.2105516121458705
ds005540,de_ridge_strong,0,0,prior_personalized,5.990550166005177e-16,-1.8579040538974735e-15,3.0560140870985086e-15,1986,0.2105516121458705
