dataset_id,scenario,method,estimand,replicates,coverage,coverage_mc_low,coverage_mc_high,bias,positive_rate,mean_width
ds005540,trial_signal,normal_t,p8_s1,300,0.9933333333333332,0.9760224167496928,0.998169851642088,0.0189053514751217,0.9966666666666668,0.1435494346588182
ds005540,trial_signal,normal_t,p8_s2,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,0.0227677752755819,0.9933333333333332,0.1559895545603847
ds005540,trial_signal,normal_t,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0249805742930295,0.9966666666666668,0.1622767969170591
ds005540,trial_signal,normal_t,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0263305781967867,0.9966666666666668,0.1659133103858928
ds005540,trial_signal,normal_t,uniform_grid_mean,300,0.99,0.97101650663766,0.9965933815622848,0.0208063154445617,1.0,0.1417828384569368
ds005540,trial_signal,percentile,p0_s0,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,0.0085396762034115,1.0,0.1752722374302103
ds005540,trial_signal,percentile,p0_s1,300,0.97,0.9439774608583588,0.9841381461905676,0.0184753285046449,1.0,0.122208775804727
ds005540,trial_signal,percentile,p0_s2,300,0.95,0.9191529665272558,0.9694683593706526,0.0217707592568708,1.0,0.13379475368245
ds005540,trial_signal,percentile,p0_s4,300,0.94,0.9071605548470916,0.961713630475308,0.0237401079056912,1.0,0.139975954060456
ds005540,trial_signal,percentile,p0_s8,300,0.93,0.8953639895740667,0.9537630551728236,0.0252771585254914,1.0,0.143709128390066
ds005540,trial_signal,percentile,p1_s0,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,0.0191089036832356,0.9966666666666668,0.16829910590025
ds005540,trial_signal,percentile,p1_s1,300,0.9766666666666668,0.9526280277317246,0.9886523397008748,0.0121542597662955,0.9966666666666668,0.1198549171340373
ds005540,trial_signal,percentile,p1_s2,300,0.9733333333333334,0.9482710570494102,0.9864269301913527,0.0144019291215375,0.9966666666666668,0.130526587319124
ds005540,trial_signal,percentile,p1_s4,300,0.9766666666666668,0.9526280277317246,0.9886523397008748,0.0158105993369064,0.9966666666666668,0.1370643033224555
ds005540,trial_signal,percentile,p1_s8,300,0.9666666666666668,0.9397381741959452,0.9817950526611452,0.0165561913132257,0.9966666666666668,0.1413139363311343
ds005540,trial_signal,percentile,p2_s0,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,0.0246388650685761,1.0,0.1683329723683282
ds005540,trial_signal,percentile,p2_s1,300,0.9433333333333334,0.9111340419775252,0.9643225235367106,0.0160924766902752,1.0,0.1148566734830196
ds005540,trial_signal,percentile,p2_s2,300,0.93,0.8953639895740667,0.9537630551728236,0.019035578103771,1.0,0.1247672386797166
ds005540,trial_signal,percentile,p2_s4,300,0.91,0.8722229892013517,0.9374097743945206,0.0205806609014316,1.0,0.1309217340744367
ds005540,trial_signal,percentile,p2_s8,300,0.8833333333333333,0.8420668566758442,0.9149068653853368,0.0218276787744783,1.0,0.1339919931988722
ds005540,trial_signal,percentile,p4_s0,300,0.9233333333333332,0.8875898961498251,0.9483723882133924,0.0288281060542281,1.0,0.167046666500027
ds005540,trial_signal,percentile,p4_s1,300,0.93,0.8953639895740667,0.9537630551728236,0.018333114672783,1.0,0.1112677008072445
ds005540,trial_signal,percentile,p4_s2,300,0.8966666666666666,0.8570598275670679,0.9262434152614588,0.0220348962803274,1.0,0.1211891961787474
ds005540,trial_signal,percentile,p4_s4,300,0.8366666666666667,0.7906268325698749,0.8741935668055973,0.0241602124677325,1.0,0.1261768156939506
ds005540,trial_signal,percentile,p4_s8,300,0.8133333333333334,0.7653812201652491,0.8533625178673686,0.0253578750891341,1.0,0.129312349586073
ds005540,trial_signal,percentile,p8_s0,300,0.9266666666666666,0.8914686583942826,0.9510760061607711,0.030449229153475,1.0,0.166438690838715
ds005540,trial_signal,percentile,p8_s1,300,0.9033333333333332,0.8646182980304887,0.9318497051817106,0.0189053514751217,1.0,0.109472696463715
ds005540,trial_signal,percentile,p8_s2,300,0.8666666666666667,0.8235282379361116,0.9005335831658879,0.0227677752755819,1.0,0.1190826193090733
ds005540,trial_signal,percentile,p8_s4,300,0.81,0.7617962081751881,0.8503651496655933,0.0249805742930295,1.0,0.1239594076421559
ds005540,trial_signal,percentile,p8_s8,300,0.77,0.7191446136117753,0.8140281819269698,0.0263305781967867,1.0,0.1267283780399565
ds005540,trial_signal,percentile,uniform_grid_mean,300,0.9,0.8608335376153785,0.9290520854049849,0.0208063154445617,1.0,0.1083073274308693
ds006850,independent_noise,basic,p0_s0,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0023481290752748,0.0,0.1804021140417082
ds006850,independent_noise,basic,p0_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0003752787875389,0.0,0.1130307506729784
ds006850,independent_noise,basic,p0_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0005638226835702,0.0,0.1267553515775639
ds006850,independent_noise,basic,p0_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0001479558215657,0.0,0.1348294181842378
ds006850,independent_noise,basic,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0004630202527812,0.0,0.1395704663818443
ds006850,independent_noise,basic,p1_s0,300,0.97,0.9439774608583588,0.9841381461905676,4.467111654610385e-05,0.0,0.1510090710998082
ds006850,independent_noise,basic,p1_s1,300,0.9633333333333334,0.9355461518281072,0.979404694837147,-0.0013850333807918,0.0,0.1120078932168658
ds006850,independent_noise,basic,p1_s2,300,0.9733333333333334,0.9482710570494102,0.9864269301913527,-0.0013579103310124,0.0,0.1213695649447968
ds006850,independent_noise,basic,p1_s4,300,0.97,0.9439774608583588,0.9841381461905676,-0.0022247947662798,0.0,0.1273455305518414
ds006850,independent_noise,basic,p1_s8,300,0.9633333333333334,0.9355461518281072,0.979404694837147,-0.0024580584057665,0.0,0.1306785422409755
ds006850,independent_noise,basic,p2_s0,300,0.9866666666666668,0.9662244697474676,0.9948030382606412,-0.0003167137944885,0.0,0.1507406214290578
ds006850,independent_noise,basic,p2_s1,300,0.9933333333333332,0.9760224167496928,0.998169851642088,-0.0018671720649318,0.0,0.1043336772695183
ds006850,independent_noise,basic,p2_s2,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0019716553247711,0.0,0.1128318770582578
ds006850,independent_noise,basic,p2_s4,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0031962602094506,0.0,0.1178547904489464
ds006850,independent_noise,basic,p2_s8,300,0.9933333333333332,0.9760224167496928,0.998169851642088,-0.0037560344831905,0.0,0.1207867025550133
ds006850,independent_noise,basic,p4_s0,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0010279551637284,0.0,0.1503282752458384
ds006850,independent_noise,basic,p4_s1,300,1.0,0.9873570287754538,0.9999999999999998,-0.002382524424475,0.0,0.0991029477757789
ds006850,independent_noise,basic,p4_s2,300,1.0,0.9873570287754538,0.9999999999999998,-0.0029944717057206,0.0,0.1069315225048963
ds006850,independent_noise,basic,p4_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0045070991631367,0.0,0.1112066306687049
ds006850,independent_noise,basic,p4_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0049445852006294,0.0,0.1135647477347848
ds006850,independent_noise,basic,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.000126587387028,0.0,0.1505979123734442
ds006850,independent_noise,basic,p8_s1,300,1.0,0.9873570287754538,0.9999999999999998,-0.0022798590288801,0.0,0.096117965212301
ds006850,independent_noise,basic,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,-0.0028708506194972,0.0,0.1034880494744649
ds006850,independent_noise,basic,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0045007613539516,0.0,0.1073009468542058
ds006850,independent_noise,basic,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0050522125880156,0.0,0.1093511850960993
ds006850,independent_noise,basic,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,-0.0020478348783085,0.0,0.103408371062024
ds006850,independent_noise,normal_t,p0_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.0023481290752748,0.0,0.205091548092766
ds006850,independent_noise,normal_t,p0_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0003752787875389,0.0,0.1280472984246786
ds006850,independent_noise,normal_t,p0_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0005638226835702,0.0,0.143610849800335
ds006850,independent_noise,normal_t,p0_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0001479558215657,0.0,0.1526921830349563
ds006850,independent_noise,normal_t,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0004630202527812,0.0,0.1579608400921793
ds006850,independent_noise,normal_t,p1_s0,300,0.9866666666666668,0.9662244697474676,0.9948030382606412,4.467111654610385e-05,0.0,0.1711031834198345
ds006850,independent_noise,normal_t,p1_s1,300,0.99,0.97101650663766,0.9965933815622848,-0.0013850333807918,0.0,0.1268942565687066
ds006850,independent_noise,normal_t,p1_s2,300,0.9866666666666668,0.9662244697474676,0.9948030382606412,-0.0013579103310124,0.0,0.1375346451257523
ds006850,independent_noise,normal_t,p1_s4,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,-0.0022247947662798,0.0,0.1443916948639163
ds006850,independent_noise,normal_t,p1_s8,300,0.98,0.9570603791821394,0.9908023684422964,-0.0024580584057665,0.0,0.1481122854835137
ds006850,independent_noise,normal_t,p2_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.0003167137944885,0.0,0.1710402037285004
ds006850,independent_noise,normal_t,p2_s1,300,1.0,0.9873570287754538,0.9999999999999998,-0.0018671720649318,0.0,0.11816310457422
ds006850,independent_noise,normal_t,p2_s2,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0019716553247711,0.0,0.1279204476436272
ds006850,independent_noise,normal_t,p2_s4,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0031962602094506,0.0,0.1336852022567073
ds006850,independent_noise,normal_t,p2_s8,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0037560344831905,0.0,0.1369743664223134
ds006850,independent_noise,normal_t,p4_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.0010279551637284,0.0,0.1706096291445271
ds006850,independent_noise,normal_t,p4_s1,300,1.0,0.9873570287754538,0.9999999999999998,-0.002382524424475,0.0,0.112122911754965
ds006850,independent_noise,normal_t,p4_s2,300,1.0,0.9873570287754538,0.9999999999999998,-0.0029944717057206,0.0,0.1210617763596453
ds006850,independent_noise,normal_t,p4_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0045070991631367,0.0,0.1258287323940665
ds006850,independent_noise,normal_t,p4_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0049445852006294,0.0,0.1284904349968604
ds006850,independent_noise,normal_t,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.000126587387028,0.0,0.1707492456057876
ds006850,independent_noise,normal_t,p8_s1,300,1.0,0.9873570287754538,0.9999999999999998,-0.0022798590288801,0.0,0.1088461089336499
ds006850,independent_noise,normal_t,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,-0.0028708506194972,0.0,0.1171408530672712
ds006850,independent_noise,normal_t,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0045007613539516,0.0,0.1215109400345966
ds006850,independent_noise,normal_t,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0050522125880156,0.0,0.1238379700841169
ds006850,independent_noise,normal_t,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,-0.0020478348783085,0.0,0.1172776761436721
ds006850,independent_noise,percentile,p0_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.0023481290752748,0.0,0.1804021140417082
ds006850,independent_noise,percentile,p0_s1,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,0.0003752787875389,0.0,0.1130307506729784
ds006850,independent_noise,percentile,p0_s2,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,0.0005638226835702,0.0,0.1267553515775639
ds006850,independent_noise,percentile,p0_s4,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0001479558215657,0.0,0.1348294181842378
ds006850,independent_noise,percentile,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0004630202527812,0.0,0.1395704663818443
ds006850,independent_noise,percentile,p1_s0,300,0.9833333333333332,0.9615846051669054,0.9928605226493666,4.467111654610385e-05,0.0,0.1510090710998082
ds006850,independent_noise,percentile,p1_s1,300,0.97,0.9439774608583588,0.9841381461905676,-0.0013850333807918,0.0,0.1120078932168658
ds006850,independent_noise,percentile,p1_s2,300,0.9733333333333334,0.9482710570494102,0.9864269301913527,-0.0013579103310124,0.0,0.1213695649447968
ds006850,independent_noise,percentile,p1_s4,300,0.97,0.9439774608583588,0.9841381461905676,-0.0022247947662798,0.0,0.1273455305518414
ds006850,independent_noise,percentile,p1_s8,300,0.97,0.9439774608583588,0.9841381461905676,-0.0024580584057665,0.0,0.1306785422409755
ds006850,independent_noise,percentile,p2_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.0003167137944885,0.0,0.1507406214290578
ds006850,independent_noise,percentile,p2_s1,300,0.99,0.97101650663766,0.9965933815622848,-0.0018671720649318,0.0,0.1043336772695183
ds006850,independent_noise,percentile,p2_s2,300,0.9966666666666668,0.9813633063054688,0.9994113422781488,-0.0019716553247711,0.0,0.1128318770582578
ds006850,independent_noise,percentile,p2_s4,300,0.99,0.97101650663766,0.9965933815622848,-0.0031962602094506,0.0,0.1178547904489464
ds006850,independent_noise,percentile,p2_s8,300,0.99,0.97101650663766,0.9965933815622848,-0.0037560344831905,0.0,0.1207867025550133
ds006850,independent_noise,percentile,p4_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.0010279551637284,0.0,0.1503282752458384
ds006850,independent_noise,percentile,p4_s1,300,1.0,0.9873570287754538,0.9999999999999998,-0.002382524424475,0.0,0.0991029477757789
ds006850,independent_noise,percentile,p4_s2,300,1.0,0.9873570287754538,0.9999999999999998,-0.0029944717057206,0.0,0.1069315225048963
ds006850,independent_noise,percentile,p4_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0045070991631367,0.0,0.1112066306687049
ds006850,independent_noise,percentile,p4_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0049445852006294,0.0,0.1135647477347848
ds006850,independent_noise,percentile,p8_s0,300,1.0,0.9873570287754538,0.9999999999999998,-0.000126587387028,0.0,0.1505979123734442
ds006850,independent_noise,percentile,p8_s1,300,1.0,0.9873570287754538,0.9999999999999998,-0.0022798590288801,0.0,0.096117965212301
ds006850,independent_noise,percentile,p8_s2,300,1.0,0.9873570287754538,0.9999999999999998,-0.0028708506194972,0.0,0.1034880494744649
ds006850,independent_noise,percentile,p8_s4,300,1.0,0.9873570287754538,0.9999999999999998,-0.0045007613539516,0.0,0.1073009468542058
ds006850,independent_noise,percentile,p8_s8,300,1.0,0.9873570287754538,0.9999999999999998,-0.0050522125880156,0.0,0.1093511850960993
ds006850,independent_noise,percentile,uniform_grid_mean,300,1.0,0.9873570287754538,0.9999999999999998,-0.0020478348783085,0.0,0.103408371062024
ds006850,labels_only,basic,p0_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p0_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p0_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p0_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p0_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p1_s0,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p1_s1,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p1_s2,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p1_s4,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
ds006850,labels_only,basic,p1_s8,300,1.0,0.9873570287754538,0.9999999999999998,0.0,0.0,0.0
